index,company,total_filings,avg_salary
231,STRATEGIC RESOURCES INTERNATIONAL INC,1527.0,$74916
232,THE UNIVERSITY OF IOWA,1522.0,$95129
233,RJT COMPUQUEST INC,1515.0,$77518
234,BROADCOM CORPORATION,1510.0,$120692
235,LYFT INC,1498.0,$170486
236,AMDOCS INC,1497.0,$101715
237,CHARLES SCHWAB AND COMPANY INC,1492.0,$114721
238,UT-BATTELLE LLC (OAK RIDGE NATIONAL LABORATORY),1480.0,$90386
239,UNIVERSITY OF MINNESOTA,1479.0,$67840
240,QUALCOMM ATHEROS INC,1479.0,$117865
241,MASTECH INC A MASTECH HOLDINGS INC COMPANY,1475.0,$88734
242,PURDUE UNIVERSITY,1470.0,$76430
243,ADOBE SYSTEMS INCORPORATED,1465.0,$122608
244,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1464.0,$67182
245,CITRIX SYSTEMS INC,1456.0,$118325
246,CYMA SYSTEMS INC,1454.0,$85552
247,ENGINEERING TECHNOLOGY ASSOCIATES INC,1437.0,$68506
248,MAKEURCAREER LLC,1433.0,$82972
249,XORIANT CORPORATION,1432.0,$97177
250,INFOSHARE SYSTEMS INC,1416.0,$78784
251,MICHIGAN STATE UNIVERSITY,1415.0,$74872
252,APPLAB SYSTEMS INC,1409.0,$74152
253,THE UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER,1403.0,$71444
254,MUFG UNION BANK NA,1395.0,$124172
255,UNIVERSITY OF CALIFORNIA LOS ANGELES,1392.0,$84520
256,QUEST GLOBAL SERVICES- NA INC,1390.0,$85757
257,EVEREST CONSULTING GROUP INC,1390.0,$84951
258,DATA INC,1376.0,$109067
259,MYTHRI CONSULTING LLC,1355.0,$83139
260,UNIVERSITY OF ILLINOIS,1355.0,$74764
261,CNET GLOBAL SOLUTIONS INC,1355.0,$79682
262,SDLC MANAGEMENT INC,1350.0,$75495
263,WASHINGTON UNIVERSITY IN ST LOUIS,1348.0,$76415
264,UNIVERSITY OF CALIFORNIA DAVIS,1344.0,$80126
265,SNAP INC,1338.0,$121530
266,UBS BUSINESS SOLUTIONS US LLC,1322.0,$113304
267,ZILLOW INC,1322.0,$127876
268,THE UNIVERSITY OF SOUTHERN CALIFORNIA,1317.0,$81668
269,SIRI INFOSOLUTIONS INC,1317.0,$85493
270,THE OHIO STATE UNIVERSITY,1316.0,$89401
271,THE PENNSYLVANIA STATE UNIVERSITY,1315.0,$77053
272,DEUTSCHE BANK SECURITIES INC,1312.0,$131449
273,UNIVERSITY OF WASHINGTON,1303.0,$87958
274,CAPITAL ONE SERVICES II LLC,1301.0,$93465
275,DOTCOM TEAM LLC,1297.0,$88002
276,AMAZON DEVELOPMENT CENTER US INC,1293.0,$132152
277,FCA US LLC,1288.0,$102456
278,ANTRA INC,1287.0,$83061
279,SYNOPSYS INC,1287.0,$113724
280,JUNIPER NETWORKS INC,1284.0,$128093
281,NOKIA OF AMERICA CORPORATION,1272.0,$123132
282,THE UNIVERSITY OF TEXAS AT AUSTIN,1265.0,$77828
283,FUSION PLUS SOLUTIONS INC,1262.0,$81468
284,ZENSAR TECHNOLOGIES INC,1260.0,$88545
285,RIVIAN AUTOMOTIVE LLC,1256.0,$137259
286,CIBER INC,1255.0,$95755
287,GENERAL ELECTRIC COMPANY,1252.0,$125207
288,AETNA RESOURCES LLC,1251.0,$116972
289,LAM RESEARCH CORPORATION,1250.0,$114719
290,TEK LEADERS INC,1248.0,$78751
291,NEMO IT SOLUTIONS INC,1244.0,$75493
292,GROUPON INC,1243.0,$117631
293,TIBCO SOFTWARE INC,1229.0,$111487
294,UNIVERSITY OF UTAH,1224.0,$87741
295,BRIGHAM AND WOMEN'S HOSPITAL,1219.0,$67439
296,AECOM TECHNICAL SERVICES INC,1218.0,$69928
297,KELLTON TECH INC,1216.0,$73540
298,HOWARD HUGHES MEDICAL INSTITUTE,1215.0,$59370
299,USM BUSINESS SYSTEMS INC,1208.0,$81709
300,ALPHA NET CONSULTING LLC,1207.0,$95459
301,FISERV SOLUTIONS LLC,1206.0,$101398
302,INDEED INC,1192.0,$103184
303,THE TRUSTEES OF PRINCETON UNIVERSITY,1189.0,$71547
304,CIBER GLOBAL LLC,1188.0,$94543
305,VALUEMOMENTUM INC,1183.0,$103137
306,TEXAS A&M UNIVERSITY,1175.0,$73228
307,FIDELITY BROKERAGE SERVICES LLC,1175.0,$91586
308,TECHLAND INC,1173.0,$80958
309,WORKDAY INC,1172.0,$129383
310,TERADATA OPERATIONS INC,1171.0,$110294
311,VERIDIC SOLUTIONS LLC,1168.0,$89482
312,NUTANIX INC,1163.0,$142258
313,DB GLOBAL TECHNOLOGY INC,1155.0,$100703
314,MARVELL TECH LLC,1153.0,$63229
315,SAMSUNG AUSTIN SEMICONDUCTOR LLC,1149.0,$117348
316,VERITAS TECHNOLOGIES LLC,1149.0,$123197
317,SAGE IT INC,1147.0,$77110
318,CVS PHARMACY INC,1146.0,$114733
319,SPRINT CORPORATION,1144.0,$92126
320,DELTA SYSTEM & SOFTWARE INC,1140.0,$72004
321,PAMTEN INC,1135.0,$89392
322,ETOUCH SYSTEMS CORPORATION,1133.0,$102195
323,8K MILES SOFTWARE SERVICES INC,1125.0,$80417
324,BDO USA LLP,1123.0,$78176
325,INOVALON INC,1123.0,$93339
326,NORDSTROM INC,1122.0,$129262
327,SAMSUNG ELECTRONICS AMERICA INC,1122.0,$120180
328,INOVANT LLC,1121.0,$104134
329,UNIVERSITY OF MARYLAND COLLEGE PARK,1119.0,$78224
330,CITIGROUP GLOBAL MARKETS INC,1119.0,$145719
331,STAPLES INC,1118.0,$108006
332,TECHNUMEN INC,1117.0,$83037
333,QUALITY MATRIX INC,1116.0,$78866
334,DROPBOX INC,1115.0,$141264
335,ST JUDE CHILDREN'S RESEARCH HOSPITAL,1115.0,$66308
336,ASPIRE SYSTEMS INC,1114.0,$84581
337,THE JOHNS HOPKINS UNIVERSITY,1112.0,$72886
338,NEW YORK UNIVERSITY,1111.0,$91363
339,LOWE'S COMPANIES INC,1108.0,$121430
340,TANISHA SYSTEMS INC,1106.0,$77220
341,APLOMB TECHNOLOGIES INC,1100.0,$77279
342,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,1098.0,$83059
343,CONSULTADD INC,1093.0,$89426
344,DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,1093.0,$80438
345,CAPITAL ONE NATIONAL ASSOCIATION,1092.0,$91251
346,SPLUNK INC,1083.0,$149569
347,ARIZONA STATE UNIVERSITY,1076.0,$76085
348,CHILDREN'S HOSPITAL CORPORATION,1076.0,$69124
349,CATERPILLAR INC,1073.0,$103119
350,CHARTER GLOBAL INC,1071.0,$79690
351,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,1071.0,$83466
352,UNIVERSITY OF ILLINOIS AT CHICAGO,1070.0,$91729
353,FACTSET RESEARCH SYSTEMS INC,1069.0,$99163
354,CAPGEMINI AMERICA INC (LEGACY CAPGEMINI FINANCIAL SERVICES INC),1069.0,$106652
355,INDIANA UNIVERSITY,1068.0,$76102
356,NESS USA INC,1067.0,$88389
357,SWANKTEK INC,1065.0,$82741
358,PINTEREST INC,1063.0,$131254
359,SOFTPATH SYSTEM LLC,1061.0,$70181
360,SQUARE INC,1053.0,$141417
361,HONEYWELL INTERNATIONAL INC,1053.0,$113718
362,E-GIANTS TECHNOLOGIES LLC,1052.0,$81969
363,UNIVERSITY OF CALIFORNIA BERKELEY,1052.0,$82032
364,SUDHI INFOMATICS INC,1049.0,$68777
365,EGEN SOLUTIONS INC,1049.0,$89743
366,HOME DEPOT PRODUCT AUTHORITY LLC,1046.0,$114216
367,AMGEN INC,1043.0,$110988
368,MITCHELL/MARTIN INC,1043.0,$120061
369,FEDERAL SOFT SYSTEMS INC,1042.0,$82645
370,TESLA MOTORS INC,1042.0,$103231
371,GENENTECH INC,1042.0,$111396
372,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,1038.0,$84373
373,SABRE GLBL INC,1036.0,$102196
374,CAPRUS IT INC,1035.0,$84860
375,PVR AMERICA INC,1034.0,$68309
376,IT AMERICA INC,1034.0,$72228
377,PROFICIENT BUSINESS SYSTEMS INC,1034.0,$81030
378,INFOGAIN CORPORATION,1031.0,$96494
379,COGNIZANT WORLDWIDE LIMITED,1031.0,$106436
380,ABBVIE INC,1029.0,$114682
381,CA INC,1029.0,$123531
382,MOTOROLA SOLUTIONS INC,1028.0,$87004
383,MASTECH DIGITAL TECHNOLOGIES INC,1026.0,$93777
384,MCKESSON CORPORATION,1022.0,$107486
385,ORACLE FINANCIAL SERVICES SOFTWARE INC,1022.0,$100964
386,MICROEXCEL INC,1022.0,$84090
